Calories,Protein,Fats,Carbohydrates,StringId,EatenTimes
31,2.3,0.9,3.7,Подберезовики_свежие,0
31,3.3,0.5,3.4,Подосиновики_свежие,0
17,1.7,0.3,1.4,Сыроежи_свежие,0
203,16.3,15.3,0,Баранина,0
187,18.9,12.4,0,Говядина,0
143,20.2,7,0,Конина,0
199,20.7,12.9,0,Кролик,0
316,16.4,27.8,0,Свинина_нежирная,0
489,11.4,49.3,0,Свинина_жирная,0
90,19.7,1.2,0,Телятина,0
77,13.6,2.5,0,Бараньи_Почки,0
101,18.7,2.9,0,Баранья_Печень,0
82,13.5,2.5,0,Баранье_Сердце,0
124,9.5,9.5,0,Говяжьи_Мозги,0
98,17.4,3.1,0,Говяжья_Печень,0
66,12.5,1.8,0,Говяжьи_Почки,0
173,12.3,13.7,0,Говяжье_Вымя,0
87,15,3,0,Говяжье_Сердце,0
163,13.6,12.1,0,Говяжий_Язык,0
80,13,3.1,0,Почки_свинные,0
108,18.8,3.6,0,Печень_свинная,0
89,15.1,3.2,0,Сердце_свинное,0
208,14.2,16.8,0,Язык_свинной,0
364,16.1,33.3,0,Гуси,0
197,21.6,12,0.8,Индейка,0
165,20.8,8.8,0.6,Куры,0
156,18.7,7.8,0.4,Цыплята,0
346,16.5,61.2,0,Утки,0
254,12.1,22.8,0,Вареная_колбаса_Диабетическая,0
170,12.1,13.5,0,Вареная_колбаса_Диетическая,0
260,13.7,22.8,0,Вареная_колбаса_Докторская,0
301,12.2,28,0,Вареная_колбаса_Любительская,0
252,11.7,22.8,0,Вареная_колбаса_Молочная,0
228,10.1,20.1,1.8,Вареная_колбаса_Отдельная,0
316,12.5,29.6,0,Вареная_колбаса_Телячья,0
332,10.1,31.6,1.9,Сардельки_Свиные,0
277,12.3,25.3,0,Сосиски_Молочные,0
220,12,19.1,0,Сосиски_Русские,0
324,11.8,30.8,0,Сосиски_Свиные,0
420,17.3,39,0,Варено-копченая_Любительская,0
360,28.2,27.5,0,Варено-копченая_Сервелат,0
466,16.2,44.6,0,Полукопченая_Краковская,0
259,23,17.4,2.7,Полукопченая_Минская,0
417,16.4,39,0,Полукопченая_Полтавская,0
376,16.5,34.4,0,Полукопченая_Украинская,0
514,20.9,47.8,0,Сырокопченая_Любительская,0
473,24.8,41.5,0,Сырокопченая_Московская,0
232,16.8,18.3,0,Говядина_тушеная,0
176,20.5,10.4,0,Завтрак_туриста_говядина,0
206,16.9,15.4,0,Завтрак_туриста_свинина,0
213,15.2,15.7,2.8,Колбасный_фарш,0
349,14.9,32.2,0,Свинина_тушеная,0
632,7.6,66.8,0,Грудинка_сырокопченая,0
467,10.5,47.2,0,Корейка_сырокопченая,0
